# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
a a 	啊啊	c=1 d=4.11075e-13 t=14785
a di 	阿迪	c=1 d=2.54193e-05 t=14785
a di da si 	阿迪达斯	c=1 d=2.37008e-05 t=14785
a jian 	阿建	c=0 d=2.13639e-20 t=14785
a jian f 	阿建非	c=1 d=2.1471e-19 t=14785
a li 	阿里	c=4 d=6.13097e-07 t=14785
a li ba ba 	阿里巴巴	c=1 d=1 t=14512
a xu 	阿旭	c=2 d=0.000316069 t=14785
ai 	唉	c=2 d=1.99501 t=11185
ai 	爱	c=0 d=2.93958e-10 t=14785
ai ge 	挨个	c=1 d=1.43406e-06 t=14785
ai zi liao 	爱资料	c=1 d=2.95431e-09 t=14785
an 	俺	c=8 d=0.126818 t=14785
an ba 	俺爸	c=0 d=7.94804e-06 t=14785
an bi li 	按比例	c=1 d=3.33903e-08 t=14785
an li 	案例	c=1 d=0.680451 t=14785
an lia 	俺俩	c=1 d=1.71864e-18 t=14785
an na ge shi hou 	俺那个时候	c=1 d=3.67367e-14 t=14785
an niu 	按钮	c=2 d=4.18586e-07 t=14785
an quan 	安全	c=4 d=2.67784 t=14308
an ta 	安踏	c=18 d=0.0402179 t=14785
an ta de 	安踏的	c=1 d=1.78725e-08 t=14785
an ta ji tuan 	安踏集团	c=1 d=1 t=11292
an ta tong yi 	安踏同意	c=1 d=4.38384e-05 t=14785
an zhao 	按照	c=8 d=0.000257689 t=14785
an zhao qing kuang yi 	按照情况一	c=1 d=1 t=10723
an zhuang 	安装	c=28 d=0.235077 t=14785
an zhuang hou 	安装后	c=2 d=1.042 t=10361
an zhuang le 	安装了	c=1 d=1 t=9722
an zhuo 	安卓	c=2 d=5.41008e-09 t=14785
ao 	奥	c=0 d=0.198511 t=14783
ao lai 	奥莱	c=1 d=0.955997 t=14785
ao yun 	奥运	c=0 d=0.1 t=11345
ao yun zhi xing 	奥运之星	c=1 d=1 t=11346
b shi 	不是	c=1 d=9.26609e-16 t=14785
b shun ia 	不顺差	c=1 d=1.35381e-05 t=14785
ba 	吧	c=36 d=1.43436 t=14785
ba 	把	c=26 d=0.0538574 t=14785
ba 	爸	c=4 d=0.000152351 t=14785
ba dian 	八点	c=2 d=0.000893826 t=14785
ba dian ba 	八点吧	c=1 d=2.14192e-20 t=14785
ba dian ban 	八点半	c=1 d=0.0155297 t=14785
ba ge 	八个	c=1 d=1 t=13416
ba gong 	罢工	c=1 d=7.99876e-21 t=14785
ba ni 	把你	c=1 d=0.056432 t=14785
ba se 	巴色	c=1 d=7.16557e-21 t=14785
ba shui 	把水	c=1 d=1 t=14640
ba wo 	把我	c=1 d=3.08976e-07 t=14785
ba zhang 	巴掌	c=0 d=0.1 t=20
bai 	拜	c=1 d=1 t=14462
bai 	百	c=1 d=2.41796e-05 t=14785
bai di 	白底	c=1 d=6.50731e-05 t=14785
bai du 	百度	c=5 d=0.000202332 t=14785
bai du nao tu 	百度脑图	c=1 d=1 t=12324
bai du sou suo 	百度搜索	c=1 d=1 t=10979
bai du tie ba 	百度贴吧	c=1 d=1 t=10412
bai du wang pan 	百度网盘	c=4 d=2.47509 t=12403
bai du yun 	百度云	c=1 d=1 t=12188
bai fang 	摆放	c=4 d=1 t=14550
bai fen bi 	百分比	c=1 d=1 t=11856
bai fen hao 	百分号	c=1 d=1 t=13168
bai ke 	柏科	c=1 d=2.92392e-05 t=14785
bai kuai 	白块	c=1 d=1 t=10650
bai se 	白色	c=6 d=0.955997 t=14785
bai tou 	白头	c=1 d=0.00255424 t=14785
ban 	班	c=2 d=0.860708 t=14785
ban ben 	版本	c=14 d=4.48533e-08 t=14785
ban ben hao 	版本号	c=2 d=0.0206508 t=14785
ban che 	班车	c=2 d=1.803e-15 t=14785
ban dao 	半岛	c=0 d=4.05658e-05 t=14785
ban fa 	办法	c=0 d=3.95979e-15 t=14785
ban gong di dian 	办公地点	c=1 d=5.90832e-16 t=14785
ban gong shi 	办公室	c=1 d=1.52441e-05 t=14785
ban ji 	班级	c=4 d=1.1598e-16 t=14785
ban ji guan li 	班级管理	c=3 d=0.128735 t=14785
ban jia 	搬家	c=1 d=3.85205e-13 t=14785
ban jiao 	半角	c=3 d=0.00067217 t=14785
ban lan gen 	板蓝根	c=1 d=1.01178e-10 t=14785
ban le 	办了	c=1 d=8.3167e-09 t=14785
ban li 	办理	c=1 d=1.03152e-08 t=14785
ban li le 	办理了	c=1 d=1.35755e-08 t=14785
ban qu 	搬去	c=0 d=9.71106e-10 t=14785
ban shi chu 	办事处	c=1 d=1 t=11431
ban tian 	半天	c=2 d=0.290835 t=14785
bang 	帮	c=0 d=0.00250972 t=14785
bang ni 	帮你	c=6 d=4.50381e-06 t=14785
bang ta men 	帮他们	c=3 d=0.104488 t=14785
bang w 	帮我	c=1 d=0.427415 t=14785
bang wo 	帮我	c=4 d=0.231078 t=14785
bao 	包	c=5 d=0.316153 t=14785
bao bao 	宝宝	c=1 d=1.40251e-09 t=14785
bao biao 	报表	c=1 d=0.737123 t=14785
bao cun 	保存	c=16 d=0.0171784 t=14785
bao cun de shi hou 	保存的时候	c=1 d=6.47595e-07 t=14785
bao cun jin du 	保存进度	c=2 d=1.36435e-08 t=14785
bao cun zai 	保存在	c=1 d=1 t=10168
bao cuo 	报错	c=17 d=0.23526 t=14785
bao cuo le 	报错了	c=1 d=0.0930145 t=14785
bao dao 	报导	c=0 d=5.42594e-15 t=14785
bao dao de 	报导的	c=1 d=5.45314e-14 t=14785
bao gao 	报告	c=1 d=0.00977834 t=14785
bao guo 	包裹	c=1 d=4.56586e-13 t=14785
bao han 	包含	c=7 d=0.00124104 t=14785
bao han guan jian zi 	包含关键字	c=1 d=1 t=11972
bao hen 	抱恨	c=1 d=0.000611253 t=14785
bao jing 	报警	c=1 d=1 t=10961
bao kuo 	包括	c=11 d=0.444858 t=14785
bao lei ji 	堡垒机	c=1 d=1.36765e-07 t=14785
bao liu 	保留	c=2 d=9.00783e-07 t=14785
bao liu le 	保留了	c=1 d=1 t=13035
bao shai 	爆晒	c=2 d=2.3246e-08 t=14785
bao xian 	保险	c=1 d=1 t=9769
bao yue 	包月	c=2 d=1.88675e-08 t=14785
bao zheng 	保证	c=5 d=1.73271 t=14387
bao zheng ni 	保证你	c=1 d=1 t=13874
bao zheng yuan zi xing 	保证原子性	c=1 d=1 t=14388
bao zhuang lei 	包装类	c=2 d=1.54698e-10 t=14785
bei 	倍	c=1 d=5.03302e-12 t=14785
bei 	呗	c=1 d=1.625e-06 t=14785
bei 	被	c=15 d=0.0379753 t=14785
bei da 	被打	c=1 d=1 t=10965
bei fang 	北方	c=1 d=1 t=14574
bei fen 	备份	c=6 d=0.000686915 t=14785
bei huan xing 	被唤醒	c=1 d=1 t=14021
bei jing 	北京	c=4 d=0.00844327 t=14785
bei ke 	贝壳	c=1 d=1.9132e-15 t=14785
bei kong zhi 	被控制	c=1 d=1.40299e-13 t=14785
bei pan dian ren 	被盘点人	c=3 d=2.69122 t=10068
bei zhu 	备注	c=13 d=0.0496641 t=14785
ben 	本	c=1 d=3.7215e-12 t=14785
ben cang ku 	本仓库	c=1 d=1 t=9788
ben di 	本地	c=4 d=3.70855e-06 t=14785
ben di tu pian 	本地图片	c=1 d=1 t=9842
ben jie duan de fen 	本阶段得分	c=1 d=2.51314e-18 t=14785
ben ke 	本科	c=2 d=8.50063e-14 t=14785
ben lai 	本来	c=1 d=6.67431e-09 t=14785
ben shen 	本身	c=3 d=0.00096827 t=14785
bi 	比	c=4 d=0.00729915 t=14785
bi bu qi 	比不起	c=1 d=6.96586e-12 t=14785
bi hui 	避讳	c=0 d=4.62054e-07 t=14785
